,Last name / Surname,Number of occurences among people self-identifying as given race,Surname rank among given race,% of people with surname self-identifying as given race,U.S. Rank,U.S. total occurrences,Given Race
578,Ahmad,1838.0,233,16.1,2889,11395,Multi-Race
579,Gomes,3291.0,101,16.0,1606,20532,Multi-Race
580,Lal,455.0,1093,15.9,10294,2868,Multi-Race
581,Sharif,394.0,1286,15.9,11595,2484,Multi-Race
582,Ahmed,4183.0,68,15.7,1206,26607,Multi-Race
583,Khan,7301.0,33,15.6,665,46713,Multi-Race
584,Singh,11114.0,18,15.3,396,72642,Multi-Race
585,Desouza,669.0,730,15.2,7003,4413,Multi-Race
586,Youssef,344.0,1493,15.1,12502,2273,Multi-Race
587,Lopes,2416.0,153,15.1,2074,16029,Multi-Race
588,Fontes,568.0,856,15.1,8139,3751,Multi-Race
589,Xavier,339.0,1518,14.9,12533,2268,Multi-Race
590,Mahmood,523.0,940,14.8,8594,3525,Multi-Race
591,Yousif,380.0,1333,14.7,11224,2589,Multi-Race
592,Sheikh,549.0,887,14.7,8200,3724,Multi-Race
593,Gonsalves,1114.0,403,14.5,4265,7690,Multi-Race
594,Dasilva,2016.0,207,14.4,2378,13978,Multi-Race
595,Ribeiro,708.0,688,14.4,6395,4905,Multi-Race
596,Soliman,320.0,1617,14.3,12716,2230,Multi-Race
597,Salim,283.0,1829,14.3,13989,1979,Multi-Race
598,Musa,300.0,1740,14.2,13256,2111,Multi-Race
599,Uddin,415.0,1220,14.1,10093,2944,Multi-Race
